original_prompt,object_to_add
"A camping tent pitched in a lush forest clearing, with towering redwood trees surrounding the site",dog
"A classic motorcycle parked on a deserted desert highway, with mountains in the background",bus
"A hammock suspended between two palm trees on a white sandy beach, with crystal-clear turquoise waters in the background",table
"A hot air balloon soaring high in a bright blue sky with wispy clouds, while colorful fields and winding country roads stretch out below",plane
"A kite soaring high against the backdrop of a cloudy sky, with a child running across an open field below",bird
"A parasol in the beach",chair
"A picnic basket and a blanket laid out on a grassy hillside",cat
"A red balloon drifting across a bright blue sky with fluffy white clouds",bird
"A red vintage car parked on a cliff overlooking a vast canyon landscape",cat
"A skier quickly going down an empty hill",flag
"A stop sign in a dirt road",car
"a bench in a park",bicycle
"a backpack lying on a wooden bench",bottle
"A classic red telephone booth standing on a street",dog
"A classical guitar leaning on a wall",bag
"A fisher sitting on a wooden dock, with a tranquil lake reflecting the surrounding mountains and evergreen trees",boat
"A pair of hiking boots resting on a log, with a stunning view of a waterfall cascading down a rocky cliff face",bottle
"A suitcase sitting on a train platform",mouse
"A surfboard leaning against a palm tree on a secluded beach, with crashing waves and a vibrant sunset in the distance",man
"A tractor working in a field",cow
"A vintage rowboat pulled up on the pebbly shore of a remote mountain lake, surrounded by soaring rocky peaks reflected in the still waters",house
